Op	InType	OutType	Template	DesignStat	DPD	TWDFR
mul_by_268435456	unsigned32	unsigned32	sync	impl	0,376	-0,019
mul_by_268435456	unsigned64	unsigned64	sync	impl	0,479	-0,135
mul_by_268435456	signed32	signed32	sync	impl	0,376	-0,019
mul_by_268435456	signed64	signed64	sync	impl	0,479	-0,135
div_by_268435456	unsigned32	unsigned32	sync	impl	0,317	-0,019
div_by_268435456	unsigned64	unsigned64	sync	impl	0,388	-0,019
div_by_268435456	signed32	signed32	sync	impl	1,937	-0,101
div_by_268435456	signed64	signed64	sync	impl	2,426	-0,067
dotnet_shift_left_by_29	unsigned64	unsigned64	sync	impl	0,514	-0,135
dotnet_shift_left_by_29	signed64	signed64	sync	impl	0,514	-0,135
dotnet_shift_right_by_29	unsigned64	unsigned64	sync	impl	0,388	-0,019
dotnet_shift_right_by_29	signed64	signed64	sync	impl	0,706	-0,119
dotnet_shift_left_by_29	unsigned32	unsigned32	sync	impl	0,770	-0,019
dotnet_shift_left_by_29	signed32	signed32	sync	impl	0,770	-0,019
dotnet_shift_right_by_29	unsigned32	unsigned32	sync	impl	0,299	-0,041
dotnet_shift_right_by_29	signed32	signed32	sync	impl	0,945	-0,041
mul_by_536870912	unsigned32	unsigned32	sync	impl	0,770	-0,019
mul_by_536870912	unsigned64	unsigned64	sync	impl	0,514	-0,135
mul_by_536870912	signed32	signed32	sync	impl	0,770	-0,019
mul_by_536870912	signed64	signed64	sync	impl	0,514	-0,135
div_by_536870912	unsigned32	unsigned32	sync	impl	0,299	-0,041
div_by_536870912	unsigned64	unsigned64	sync	impl	0,388	-0,019
div_by_536870912	signed32	signed32	sync	impl	2,078	-0,059
div_by_536870912	signed64	signed64	sync	impl	2,368	-0,063
dotnet_shift_left_by_30	unsigned64	unsigned64	sync	impl	0,483	-0,135
dotnet_shift_left_by_30	signed64	signed64	sync	impl	0,483	-0,135
dotnet_shift_right_by_30	unsigned64	unsigned64	sync	impl	0,390	-0,019
dotnet_shift_right_by_30	signed64	signed64	sync	impl	0,813	-0,112
dotnet_shift_left_by_30	unsigned32	unsigned32	sync	impl	0,375	-0,019
dotnet_shift_left_by_30	signed32	signed32	sync	impl	0,375	-0,019
dotnet_shift_right_by_30	unsigned32	unsigned32	sync	impl	0,353	-0,041
dotnet_shift_right_by_30	signed32	signed32	sync	impl	1,374	-0,093
mul_by_1073741824	unsigned32	unsigned32	sync	impl	0,375	-0,019
mul_by_1073741824	unsigned64	unsigned64	sync	impl	0,483	-0,135
mul_by_1073741824	signed32	signed32	sync	impl	0,375	-0,019
mul_by_1073741824	signed64	signed64	sync	impl	0,483	-0,135
div_by_1073741824	unsigned32	unsigned32	sync	impl	0,353	-0,041
div_by_1073741824	unsigned64	unsigned64	sync	impl	0,390	-0,019
div_by_1073741824	signed32	signed32	sync	impl	1,989	-0,097
div_by_1073741824	signed64	signed64	sync	impl	2,415	-0,074
dotnet_shift_left_by_31	unsigned64	unsigned64	sync	impl	0,560	-0,130
dotnet_shift_left_by_31	signed64	signed64	sync	impl	0,560	-0,130
dotnet_shift_right_by_31	unsigned64	unsigned64	sync	impl	0,388	-0,019
dotnet_shift_right_by_31	signed64	signed64	sync	impl	0,983	-0,105
dotnet_shift_left_by_31	unsigned32	unsigned32	sync	impl	0,338	-0,019
