Op	InType	OutType	Template	DesignStat	DPD	TWDFR
dotnet_shift_right_by_9	unsigned32	unsigned32	sync	impl	1,001	0,134
dotnet_shift_right_by_9	signed32	signed32	sync	impl	1,191	0,123
mul_by_512	unsigned16	unsigned16	sync	impl	0,944	0,121
mul_by_512	unsigned32	unsigned32	sync	impl	0,965	0,138
mul_by_512	unsigned64	unsigned64	sync	impl	0,954	0,117
mul_by_512	signed16	signed16	sync	impl	0,944	0,121
mul_by_512	signed32	signed32	sync	impl	0,965	0,138
mul_by_512	signed64	signed64	sync	impl	0,954	0,117
div_by_512	unsigned16	unsigned16	sync	impl	0,739	0,138
div_by_512	unsigned32	unsigned32	sync	impl	1,001	0,134
div_by_512	unsigned64	unsigned64	sync	impl	1,128	0,123
div_by_512	signed16	signed16	sync	impl	2,770	0,127
div_by_512	signed32	signed32	sync	impl	3,856	0,122
div_by_512	signed64	signed64	sync	impl	3,676	0,164
dotnet_shift_left_by_10	unsigned64	unsigned64	sync	impl	1,191	0,129
dotnet_shift_left_by_10	signed64	signed64	sync	impl	1,191	0,129
dotnet_shift_right_by_10	unsigned64	unsigned64	sync	impl	0,986	0,133
dotnet_shift_right_by_10	signed64	signed64	sync	impl	1,291	0,141
dotnet_shift_left_by_10	unsigned32	unsigned32	sync	impl	0,807	0,153
dotnet_shift_left_by_10	signed32	signed32	sync	impl	0,807	0,153
dotnet_shift_right_by_10	unsigned32	unsigned32	sync	impl	0,965	0,137
dotnet_shift_right_by_10	signed32	signed32	sync	impl	1,086	0,121
mul_by_1024	unsigned16	unsigned16	sync	impl	0,803	0,153
mul_by_1024	unsigned32	unsigned32	sync	impl	0,807	0,153
mul_by_1024	unsigned64	unsigned64	sync	impl	1,191	0,129
mul_by_1024	signed16	signed16	sync	impl	0,803	0,153
mul_by_1024	signed32	signed32	sync	impl	0,807	0,153
mul_by_1024	signed64	signed64	sync	impl	1,191	0,129
div_by_1024	unsigned16	unsigned16	sync	impl	1,029	0,015
div_by_1024	unsigned32	unsigned32	sync	impl	0,965	0,137
div_by_1024	unsigned64	unsigned64	sync	impl	0,986	0,133
div_by_1024	signed16	signed16	sync	impl	3,428	0,156
div_by_1024	signed32	signed32	sync	impl	2,828	0,127
div_by_1024	signed64	signed64	sync	impl	3,908	0,133
dotnet_shift_left_by_11	unsigned64	unsigned64	sync	impl	0,954	0,121
dotnet_shift_left_by_11	signed64	signed64	sync	impl	0,954	0,121
dotnet_shift_right_by_11	unsigned64	unsigned64	sync	impl	1,000	0,149
dotnet_shift_right_by_11	signed64	signed64	sync	impl	0,964	0,136
dotnet_shift_left_by_11	unsigned32	unsigned32	sync	impl	0,965	0,137
dotnet_shift_left_by_11	signed32	signed32	sync	impl	0,965	0,137
dotnet_shift_right_by_11	unsigned32	unsigned32	sync	impl	0,945	0,119
dotnet_shift_right_by_11	signed32	signed32	sync	impl	1,124	0,127
mul_by_2048	unsigned16	unsigned16	sync	impl	0,806	0,154
mul_by_2048	unsigned32	unsigned32	sync	impl	0,965	0,137
mul_by_2048	unsigned64	unsigned64	sync	impl	0,954	0,121
mul_by_2048	signed16	signed16	sync	impl	0,806	0,154
mul_by_2048	signed32	signed32	sync	impl	0,965	0,137
mul_by_2048	signed64	signed64	sync	impl	0,954	0,121
div_by_2048	unsigned16	unsigned16	sync	impl	0,806	0,154
div_by_2048	unsigned32	unsigned32	sync	impl	0,945	0,119
div_by_2048	unsigned64	unsigned64	sync	impl	1,000	0,149
div_by_2048	signed16	signed16	sync	impl	2,704	0,151
div_by_2048	signed32	signed32	sync	impl	3,590	0,138
div_by_2048	signed64	signed64	sync	impl	3,556	0,064
dotnet_shift_left_by_12	unsigned64	unsigned64	sync	impl	0,965	0,135
dotnet_shift_left_by_12	signed64	signed64	sync	impl	0,965	0,135
dotnet_shift_right_by_12	unsigned64	unsigned64	sync	impl	1,010	0,140
dotnet_shift_right_by_12	signed64	signed64	sync	impl	1,334	0,143
dotnet_shift_left_by_12	unsigned32	unsigned32	sync	impl	0,965	0,136
dotnet_shift_left_by_12	signed32	signed32	sync	impl	0,965	0,136
dotnet_shift_right_by_12	unsigned32	unsigned32	sync	impl	0,984	0,140
